Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume KRW
1570147200,10/4/2019,BTCKRW,9938000,9938000,9657000,9750000,3947.18,38633405841
1570060800,10/3/2019,BTCKRW,10085000,10135000,9782000,9938000,4021.54,39997532420
1569974400,10/2/2019,BTCKRW,10002000,10094000,9810000,10085000,4893.33,48646053320
1569888000,10/1/2019,BTCKRW,9960000,10240000,9799000,10002000,7544.13,75838899682
1569801600,9/30/2019,BTCKRW,9676000,9985000,9270000,9960000,9046.53,87217500662
1569715200,9/29/2019,BTCKRW,9886000,9914000,9547000,9676000,3568.82,34625095870
1569628800,9/28/2019,BTCKRW,9833000,9980000,9635000,9886000,4316.72,42324396592
1569542400,9/27/2019,BTCKRW,9701000,9918000,9436000,9833000,6401.97,61782348341
1569456000,9/26/2019,BTCKRW,10144000,10201000,9364000,9701000,9968.25,98067670054
1569369600,9/25/2019,BTCKRW,10212000,10581000,9810000,10144000,12227.47,1.23857E+11
1569283200,9/24/2019,BTCKRW,11537000,11680000,9720000,10212000,13757.61,1.48509E+11
1569196800,9/23/2019,BTCKRW,11938000,11960000,11482000,11537000,5292.91,61981845327
1569110400,9/22/2019,BTCKRW,11887000,11987000,11730000,11938000,2982.39,35400625385
1569024000,9/21/2019,BTCKRW,12077000,12082000,11807000,11887000,2546.42,30358588453
1568937600,9/20/2019,BTCKRW,12187000,12220000,11990000,12077000,2743.4,33152321548
1568851200,9/19/2019,BTCKRW,12052000,12253000,11575000,12187000,5618.69,66779027634
1568764800,9/18/2019,BTCKRW,12062000,12154000,12010000,12052000,3053.25,36879041385
1568678400,9/17/2019,BTCKRW,12131000,12145000,11992000,12062000,3413.86,41216193740
1568592000,9/16/2019,BTCKRW,12178000,12260000,11953000,12131000,3049.46,36967017214
1568505600,9/15/2019,BTCKRW,12263000,12280000,12146000,12178000,1877.48,22913289491
1568419200,9/14/2019,BTCKRW,12315000,12335000,12168000,12263000,2106.62,25843365463
1568332800,9/13/2019,BTCKRW,12438000,12449000,12125000,12315000,3029.44,37206419889
1568246400,9/12/2019,BTCKRW,12173000,12468000,12038000,12438000,3939.6,48252014473
1568160000,9/11/2019,BTCKRW,12072000,12256000,11865000,12173000,4404.7,53079551966
1568073600,9/10/2019,BTCKRW,12272000,12343000,11954000,12072000,3561.45,43335675908
1567987200,9/9/2019,BTCKRW,12369000,12494000,12000000,12272000,5863.91,71782388346
1567900800,9/8/2019,BTCKRW,12473000,12582000,12274000,12369000,2750.07,34172707569
1567814400,9/7/2019,BTCKRW,12341000,12600000,12340000,12473000,3152.95,39293878362
